;Date;Channel;Duration;User
211;04/04/20;News;14;100003
212;19/05/20;Movies;1;100033
213;03/06/20;Sport;32;100015
214;01/06/20;News;6;100048
215;27/10/20;Movies;54;100031
216;14/04/20;Movies;2;100004
217;09/10/20;Sport;18;100042
218;27/09/20;News;16;100001
219;14/05/20;News;6;100010
220;20/08/20;Movies;9;100024
221;22/04/20;Fiction;30;100039
222;12/07/20;Fiction;13;100024
223;19/06/20;News;12;100046
224;05/12/20;Movies;0;100042
225;22/10/20;Fiction;27;100035
226;13/10/20;Movies;12;100045
227;28/01/20;Fiction;14;100045
228;27/12/20;Sport;18;100038
229;29/04/20;Sport;32;100042
230;10/01/20;News;2;100033
231;19/02/20;Movies;19;100036
232;18/09/20;Fiction;21;100002
233;14/01/20;News;10;100001
234;23/12/20;Fiction;18;100019
235;29/01/20;Fiction;25;100005
236;21/07/20;News;0;100028
237;27/02/20;Movies;10;100011
238;04/04/20;News;9;100021
239;14/11/20;Sport;0;100028
240;26/08/20;News;16;100029
241;02/02/20;Movies;2;100016
242;06/05/20;Sport;48;100031
243;28/05/20;Sport;15;100024
244;09/02/20;Sport;10;100028
245;05/02/20;Movies;44;100012
246;16/04/20;Sport;28;100017
247;06/02/20;Movies;47;100031
248;31/03/20;Fiction;28;100004
249;22/04/20;Sport;16;100040
250;17/02/20;Fiction;16;100022
251;31/03/20;Movies;1;100039
252;23/09/20;Fiction;12;100017
253;17/11/20;Movies;53;100026
254;15/07/20;News;16;100004
255;08/08/20;Fiction;7;100046
256;19/12/20;Movies;0;100047
257;02/01/20;Sport;1;100030
258;05/03/20;Sport;18;100027
259;09/03/20;Fiction;24;100006
260;30/05/20;Movies;21;100043
261;20/06/20;Fiction;2;100016
262;20/09/20;Movies;3;100042
263;26/04/20;News;4;100017
264;05/05/20;Movies;9;100018
265;30/05/20;News;17;100029
266;08/08/20;News;11;100005
267;31/01/20;Sport;52;100023
268;21/01/20;News;18;100010
269;28/11/20;Sport;20;100003
270;15/03/20;Movies;2;100000
271;18/11/20;News;5;100035
272;25/07/20;Fiction;18;100048
273;05/07/20;News;13;100031
274;15/05/20;Sport;13;100033
275;27/12/20;Sport;24;100047
276;22/03/20;News;1;100031
277;02/09/20;Fiction;6;100018
278;09/12/20;Movies;19;100015
279;31/05/20;Fiction;1;100033
280;15/03/20;Sport;72;100027
281;11/05/20;Movies;2;100027
282;12/08/20;Movies;28;100031
283;18/01/20;Sport;70;100025
284;31/10/20;Fiction;9;100005
285;02/06/20;Movies;1;100025
286;06/09/20;Sport;66;100033
287;23/02/20;Movies;2;100046
288;06/08/20;Sport;97;100038
289;20/11/20;Movies;9;100041
290;19/12/20;Movies;4;100001
291;13/01/20;Fiction;22;100045
292;12/09/20;Movies;20;100023
293;29/01/20;Sport;33;100020
294;10/04/20;News;18;100038
295;13/07/20;Fiction;3;100036
296;05/09/20;News;4;100031
297;29/07/20;Movies;27;100020
298;02/12/20;Fiction;25;100021
299;31/05/20;Fiction;22;100010
300;18/11/20;Fiction;27;100000
301;09/11/20;News;3;100018
302;23/08/20;Movies;57;100046
303;12/08/20;Movies;19;100016
304;27/09/20;News;4;100024
305;08/08/20;Fiction;20;100032
306;27/12/20;Sport;7;100018
307;19/10/20;Fiction;7;100000
308;16/07/20;Fiction;19;100014
309;03/03/20;Fiction;25;100043
310;21/05/20;Sport;23;100037
311;05/07/20;Fiction;23;100035
312;02/07/20;News;17;100038
313;09/04/20;Fiction;10;100000
314;19/02/20;Movies;39;100004
315;07/11/20;News;12;100027
316;29/05/20;Movies;48;100007
317;17/05/20;Fiction;4;100026
318;25/09/20;News;0;100034
319;15/08/20;Movies;6;100034
320;08/02/20;News;10;100047
321;26/09/20;Movies;28;100024
322;31/01/20;News;5;100049
323;12/02/20;News;17;100026
324;30/08/20;Fiction;4;100020
325;04/10/20;Sport;4;100047
326;01/07/20;News;16;100010
327;16/09/20;Movies;10;100013
328;03/02/20;Fiction;26;100043
329;31/05/20;Movies;68;100013
330;22/01/20;Sport;45;100004
331;26/03/20;Fiction;3;100047
332;30/08/20;Sport;60;100002
333;12/05/20;Movies;7;100033
334;15/09/20;Fiction;11;100031
335;03/11/20;Fiction;24;100030
336;29/03/20;Fiction;19;100003
337;02/02/20;Fiction;1;100008
338;08/03/20;Movies;37;100008
339;12/12/20;News;12;100000
340;15/06/20;Movies;14;100031
341;12/09/20;Sport;4;100029
342;28/11/20;Movies;6;100015
343;23/04/20;News;9;100017
344;20/12/20;Movies;6;100011
345;09/03/20;Sport;140;100046
346;24/05/20;Movies;120;100017
347;15/03/20;Fiction;11;100002
348;28/05/20;Fiction;14;100003
349;17/08/20;Movies;2;100003
350;23/12/20;Fiction;0;100010
351;30/06/20;Movies;10;100006
352;29/08/20;Sport;10;100043
353;17/05/20;Fiction;23;100000
354;04/08/20;Movies;15;100035
355;13/06/20;News;11;100047
356;11/10/20;Movies;16;100001
357;12/05/20;News;4;100033
358;18/06/20;Sport;53;100024
359;01/12/20;Fiction;15;100006
360;17/11/20;Sport;35;100014
361;16/04/20;Sport;29;100024
362;01/07/20;Fiction;30;100045
363;20/07/20;Sport;15;100016
364;11/02/20;News;12;100002
365;31/05/20;Movies;50;100001
366;26/06/20;Movies;6;100016
367;09/06/20;Fiction;5;100023
368;26/11/20;Sport;27;100048
369;14/02/20;Fiction;17;100035
370;02/05/20;Fiction;28;100026
371;18/08/20;Fiction;24;100018
372;15/05/20;Fiction;18;100006
373;15/06/20;Fiction;20;100017
374;27/01/20;Movies;100;100038
375;10/11/20;News;0;100026
376;22/03/20;Fiction;8;100010
377;29/09/20;Sport;28;100033
378;07/08/20;Movies;70;100003
379;14/11/20;News;4;100029
380;08/09/20;News;1;100048
381;17/07/20;Movies;3;100045
382;11/03/20;Movies;1;100036
383;18/11/20;News;11;100007
384;16/05/20;News;12;100042
385;27/07/20;News;15;100029
386;16/11/20;News;16;100046
387;25/01/20;Movies;6;100043
388;18/08/20;Fiction;12;100004
389;28/07/20;Sport;22;100022
390;05/10/20;News;4;100041
391;29/12/20;News;6;100015
392;11/09/20;Movies;8;100021
393;30/01/20;Movies;3;100012
394;08/06/20;Sport;2;100049
395;12/08/20;News;5;100002
396;23/03/20;Fiction;0;100008
397;03/07/20;News;15;100010
398;19/06/20;Sport;16;100025
399;09/05/20;Sport;35;100010
400;04/02/20;Sport;9;100026
401;18/05/20;Fiction;1;100012
402;03/11/20;Movies;4;100001
403;02/10/20;Sport;145;100011
404;16/04/20;Fiction;7;100017
405;18/06/20;News;15;100000
406;06/05/20;Sport;56;100030
407;31/07/20;Movies;54;100033
408;19/03/20;News;10;100023
409;16/09/20;Sport;19;100006
410;07/07/20;Sport;9;100042
411;08/04/20;Movies;4;100007
412;03/12/20;Sport;82;100007
413;20/10/20;Fiction;12;100012
414;15/10/20;Movies;2;100032
415;13/06/20;Sport;28;100003
416;31/05/20;Fiction;26;100034
417;03/11/20;Movies;7;100045
418;07/06/20;News;13;100022
419;17/02/20;Movies;0;100014
420;14/02/20;Movies;112;100006
421;30/05/20;Fiction;17;100009
422;24/06/20;News;13;100047
423;15/06/20;Movies;1;100011
424;20/12/20;Sport;14;100039
425;01/07/20;Sport;4;100039
426;10/12/20;Fiction;13;100017
427;07/04/20;News;11;100034
428;12/05/20;Sport;0;100028
429;03/03/20;News;4;100031
430;16/11/20;Sport;6;100003
431;25/06/20;Fiction;26;100009
432;21/11/20;Movies;2;100036
433;08/01/20;Movies;2;100038
434;24/12/20;News;3;100005
435;28/12/20;Movies;114;100012
436;14/10/20;Fiction;23;100017
437;26/11/20;Fiction;21;100039
438;29/09/20;News;14;100030
439;19/06/20;Sport;18;100014
440;10/08/20;News;12;100022
441;09/06/20;Movies;64;100034
442;08/02/20;Fiction;24;100000
443;29/12/20;Movies;6;100047
444;27/02/20;News;9;100036
445;15/04/20;Fiction;6;100010
446;09/08/20;Sport;34;100006
447;21/05/20;News;12;100029
448;19/07/20;Sport;90;100027
449;25/02/20;Fiction;13;100007
450;25/06/20;Sport;16;100045
451;03/05/20;News;13;100008
452;09/01/20;Fiction;1;100043
453;04/10/20;Movies;4;100045
454;27/04/20;News;0;100029
455;26/05/20;Movies;1;100018
456;06/07/20;Sport;57;100045
457;27/02/20;Fiction;11;100007
458;12/11/20;Fiction;27;100013
459;03/07/20;Sport;4;100041
460;23/06/20;Fiction;3;100032
461;07/10/20;Sport;0;100049
462;06/04/20;Movies;11;100030
463;19/08/20;Movies;5;100041
464;25/02/20;News;5;100029
465;01/11/20;News;10;100014
466;06/06/20;Fiction;25;100045
467;13/10/20;Movies;27;100035
468;24/12/20;Fiction;2;100012
469;29/11/20;News;1;100040
470;31/03/20;Sport;16;100038
471;13/12/20;Movies;6;100002
472;07/02/20;Movies;76;100019
473;07/02/20;Sport;6;100023
474;20/01/20;Fiction;26;100002
475;02/06/20;Sport;1;100047
476;12/09/20;News;13;100033
477;14/01/20;Sport;5;100042
478;28/04/20;News;9;100016
479;09/02/20;Movies;3;100028
480;27/03/20;News;13;100007
481;26/12/20;News;2;100004
482;21/02/20;News;16;100048
483;06/03/20;Movies;2;100044
484;04/03/20;Sport;0;100025
485;19/02/20;Movies;2;100001
486;22/11/20;Movies;16;100030
487;08/12/20;Fiction;21;100014
488;08/05/20;Sport;33;100017
489;01/05/20;News;0;100027
490;15/12/20;Fiction;11;100049
491;04/12/20;News;3;100007
492;15/08/20;Fiction;13;100013
493;27/01/20;Movies;66;100039
494;17/10/20;Sport;34;100036
495;31/10/20;News;9;100003
496;06/04/20;Sport;25;100030
497;28/05/20;Sport;1;100038
498;02/08/20;Fiction;25;100029
499;27/02/20;News;4;100037
500;30/04/20;Movies;7;100008
501;25/11/20;Fiction;9;100026
502;13/02/20;Fiction;5;100018
503;20/04/20;Movies;2;100030
504;01/08/20;News;15;100003
505;03/06/20;Movies;9;100011
506;28/09/20;Sport;40;100003
507;14/11/20;Fiction;4;100019
508;16/02/20;Fiction;14;100028
509;19/07/20;News;1;100049
510;13/01/20;News;4;100005
511;09/09/20;Fiction;9;100003
512;10/02/20;Fiction;25;100022
513;23/03/20;News;17;100029
514;22/08/20;Movies;17;100022
515;17/02/20;News;6;100004
516;07/05/20;Movies;8;100030
517;08/02/20;Sport;24;100002
518;26/08/20;Sport;4;100043
519;26/11/20;News;14;100006
520;25/12/20;Sport;29;100030
521;23/03/20;Movies;2;100027
522;04/09/20;News;0;100003
523;06/11/20;Movies;25;100012
524;26/10/20;Movies;62;100035
525;24/03/20;Fiction;28;100041
526;01/07/20;Fiction;23;100043
527;05/03/20;Fiction;26;100011
528;21/02/20;Fiction;19;100014
529;13/11/20;Sport;37;100049
530;19/08/20;News;2;100008
531;23/10/20;Fiction;15;100004
532;30/08/20;Fiction;7;100037
533;22/08/20;Fiction;15;100017
534;04/04/20;Movies;104;100040
535;23/01/20;Sport;4;100004
536;16/07/20;Sport;27;100040
537;22/09/20;Movies;8;100000
538;28/10/20;Sport;19;100040
539;22/09/20;Sport;6;100044
540;24/09/20;Fiction;11;100015
541;22/05/20;Sport;48;100033
542;23/11/20;Fiction;26;100031
543;13/12/20;Sport;37;100038
544;26/04/20;News;15;100005
545;27/09/20;News;1;100004
546;19/02/20;Sport;57;100002
547;30/04/20;Sport;5;100000
548;24/12/20;Sport;6;100011
549;03/01/20;Fiction;14;100009
550;04/03/20;Fiction;14;100037
551;03/01/20;Fiction;27;100021
552;23/07/20;Sport;25;100028
553;04/11/20;News;10;100003
554;09/04/20;News;2;100015
555;14/01/20;Fiction;14;100014
556;25/12/20;Sport;0;100045
557;02/02/20;Fiction;12;100026
558;10/06/20;Movies;33;100008
559;26/11/20;Fiction;28;100028
560;25/12/20;Movies;5;100025
561;22/01/20;Sport;14;100025
562;14/01/20;News;8;100021
563;10/10/20;News;12;100004
564;26/09/20;Fiction;28;100003
565;05/03/20;Fiction;11;100005
566;28/09/20;Sport;3;100008
567;27/03/20;Movies;9;100034
568;04/03/20;Fiction;24;100049
569;03/01/20;News;15;100024
570;19/02/20;Movies;13;100032
571;22/06/20;Movies;12;100025
572;05/05/20;News;1;100030
573;21/12/20;Fiction;14;100037
574;11/04/20;Fiction;9;100003
575;25/06/20;Fiction;5;100039
576;01/01/20;News;12;100013
577;17/12/20;Fiction;28;100009
578;22/06/20;Fiction;29;100018
579;24/01/20;Movies;5;100019
580;22/03/20;Fiction;21;100023
581;22/08/20;Sport;14;100020
582;03/05/20;Fiction;2;100043
583;27/03/20;Fiction;28;100013
584;02/06/20;News;0;100015
585;04/06/20;Sport;4;100013
586;04/10/20;News;0;100034
587;18/12/20;News;7;100024
588;22/12/20;Movies;46;100042
589;14/03/20;News;13;100048
590;19/08/20;Sport;19;100039
591;19/03/20;Fiction;7;100020
592;23/12/20;Fiction;12;100020
593;25/01/20;News;15;100029
594;08/05/20;News;0;100025
595;21/04/20;Movies;0;100030
596;16/03/20;Movies;1;100006
597;08/02/20;Movies;5;100020
598;03/05/20;Fiction;2;100008
599;12/08/20;Fiction;12;100032
600;05/08/20;Sport;84;100038
601;27/06/20;Fiction;5;100036
602;16/12/20;News;3;100041
603;16/01/20;Sport;2;100019
604;12/08/20;Sport;10;100024
605;03/10/20;Fiction;27;100049
606;12/04/20;Movies;6;100023
607;02/11/20;News;6;100031
608;29/02/20;Sport;13;100033
609;13/04/20;News;17;100001
610;08/02/20;News;9;100001
611;12/04/20;Sport;19;100000
612;10/03/20;Sport;47;100040
613;23/12/20;Sport;0;100015
614;11/08/20;Movies;12;100001
615;12/08/20;News;3;100027
616;24/02/20;Fiction;12;100016
617;28/04/20;Sport;82;100018
618;21/11/20;Sport;27;100047
619;25/08/20;Sport;11;100028
620;02/03/20;Fiction;12;100044
621;22/02/20;Movies;11;100036
622;20/10/20;News;1;100011
623;25/08/20;Sport;41;100012
624;19/06/20;Movies;2;100002
625;16/09/20;Sport;15;100040
626;06/10/20;News;7;100043
627;29/05/20;Sport;75;100042
628;28/08/20;News;5;100036
629;28/02/20;Sport;1;100042
630;28/01/20;Fiction;25;100028
631;04/03/20;Fiction;0;100021
632;17/07/20;Fiction;19;100024
633;25/09/20;Movies;25;100034
634;05/01/20;News;5;100008
635;15/11/20;Fiction;17;100025
636;12/07/20;Movies;22;100026
637;28/03/20;News;3;100023
638;04/02/20;Sport;23;100046
639;04/05/20;Fiction;15;100043
640;04/09/20;News;8;100019
641;13/12/20;Sport;44;100008
642;25/07/20;News;4;100033
643;25/10/20;News;6;100048
644;09/11/20;News;3;100024
645;26/04/20;Fiction;28;100016
646;09/07/20;Movies;8;100014
647;13/10/20;Movies;17;100022
648;04/02/20;Fiction;5;100047
649;01/05/20;Sport;3;100025
650;20/02/20;News;13;100048
651;20/10/20;News;11;100017
652;02/07/20;Fiction;10;100016
653;19/06/20;Sport;26;100017
654;19/01/20;Movies;30;100021
655;24/05/20;News;3;100029
656;06/08/20;Sport;122;100004
657;21/01/20;Fiction;27;100023
658;29/06/20;Movies;38;100021
659;09/03/20;Movies;52;100008
660;12/02/20;Movies;6;100029
661;20/02/20;Fiction;16;100031
662;03/10/20;Sport;45;100006
663;01/12/20;Fiction;26;100045
664;02/03/20;Movies;0;100035
665;23/11/20;Movies;33;100013
666;06/04/20;News;6;100035
667;21/04/20;Movies;34;100038
668;05/03/20;Sport;44;100030
669;06/06/20;Fiction;8;100003
670;25/01/20;Fiction;1;100027
671;25/10/20;Sport;8;100042
672;28/02/20;Fiction;9;100001
673;29/05/20;News;8;100023
674;19/07/20;Fiction;13;100006
675;20/10/20;Sport;60;100001
676;19/05/20;Fiction;16;100040
677;07/04/20;Fiction;23;100017
678;08/10/20;News;4;100046
679;27/01/20;Fiction;22;100043
680;19/03/20;Fiction;27;100037
681;05/06/20;Fiction;25;100008
682;01/04/20;Movies;17;100002
683;04/09/20;Sport;32;100045
684;31/05/20;Movies;52;100005
685;11/08/20;Fiction;13;100028
686;10/06/20;News;5;100031
687;02/10/20;News;11;100031
688;20/09/20;Fiction;9;100011
689;15/01/20;Movies;9;100042
690;06/03/20;Fiction;17;100031
691;23/04/20;Fiction;16;100002
692;18/03/20;News;17;100041
693;12/11/20;Fiction;21;100024
694;08/01/20;Movies;3;100035
695;20/06/20;News;11;100015
696;05/12/20;Fiction;29;100015
697;09/10/20;Sport;22;100033
698;23/11/20;Movies;64;100008
699;20/07/20;Sport;20;100033
700;04/11/20;Sport;0;100043
701;26/08/20;Sport;10;100018
702;27/04/20;Movies;43;100044
703;12/11/20;News;3;100013
704;14/11/20;Fiction;20;100016
705;28/03/20;Fiction;16;100038
706;10/03/20;Sport;50;100038
707;21/09/20;News;5;100009
708;22/11/20;Movies;8;100000
709;21/08/20;Fiction;24;100030
710;05/11/20;Movies;6;100015
711;17/12/20;Movies;23;100030
712;12/08/20;Movies;28;100005
713;03/07/20;Movies;2;100042
714;22/01/20;Fiction;28;100043
715;17/11/20;Fiction;19;100029
716;25/06/20;Fiction;26;100035
717;19/03/20;Sport;43;100040
718;05/05/20;Sport;60;100048
719;22/10/20;News;9;100039
720;22/07/20;Sport;29;100036
721;25/01/20;Fiction;11;100049
722;30/07/20;Fiction;5;100020
723;24/06/20;Fiction;20;100031
724;09/07/20;Fiction;17;100017
725;20/07/20;Movies;108;100038
726;02/09/20;Sport;19;100006
727;01/01/20;Fiction;5;100038
728;14/01/20;News;7;100029
729;29/03/20;Movies;8;100020
730;13/04/20;News;10;100003
731;25/10/20;Movies;17;100042
732;19/06/20;Fiction;8;100012
733;04/09/20;Sport;24;100034
734;20/03/20;Fiction;21;100006
735;12/08/20;News;6;100046
736;26/10/20;Sport;27;100003
737;09/06/20;Fiction;25;100019
738;26/05/20;Fiction;24;100043
739;11/11/20;Movies;56;100025
740;19/03/20;Sport;31;100047
741;09/05/20;Fiction;19;100034
742;12/09/20;Sport;11;100049
743;17/06/20;Fiction;2;100035
744;24/10/20;Sport;6;100016
745;16/11/20;Sport;43;100005
746;20/12/20;Fiction;23;100021
747;26/02/20;Fiction;17;100006
748;07/07/20;Sport;10;100034
749;29/02/20;Sport;19;100008
750;27/06/20;Movies;1;100001
751;10/04/20;Fiction;19;100014
752;13/07/20;Movies;100;100003
753;19/06/20;Fiction;26;100048
754;01/03/20;Sport;67;100028
755;18/06/20;Sport;56;100049
756;08/03/20;News;6;100030
757;10/09/20;Fiction;18;100018
758;04/09/20;Fiction;25;100041
759;29/10/20;Sport;16;100020
760;04/06/20;News;12;100046
761;22/03/20;Fiction;28;100048
762;05/02/20;Movies;57;100032
763;22/08/20;Fiction;19;100014
764;03/07/20;Movies;10;100007
765;21/09/20;Movies;11;100042
766;14/04/20;Sport;1;100041
767;09/02/20;Movies;10;100047
768;05/02/20;Sport;42;100041
769;12/07/20;Movies;27;100004
770;24/07/20;Movies;120;100001
771;30/10/20;News;14;100045
772;18/08/20;Fiction;13;100001
773;19/11/20;Fiction;9;100001
774;28/01/20;Fiction;2;100016
775;08/07/20;Movies;3;100041
776;04/08/20;News;14;100018
777;25/12/20;Fiction;20;100019
778;02/10/20;Sport;135;100019
779;20/06/20;Fiction;15;100043
780;14/04/20;Movies;2;100027
781;16/03/20;Sport;20;100002
782;05/02/20;News;15;100029
783;05/02/20;News;10;100010
784;25/10/20;Movies;17;100026
785;08/06/20;Sport;10;100005
786;05/05/20;Fiction;13;100035
787;27/09/20;Movies;3;100019
788;25/06/20;Sport;43;100046
789;01/04/20;Movies;10;100001
790;01/01/20;Sport;3;100027
791;08/06/20;Sport;15;100028
792;11/05/20;Fiction;21;100013
793;02/12/20;Sport;55;100031
794;15/09/20;Sport;29;100022
795;25/11/20;Fiction;19;100034
796;19/11/20;News;12;100006
797;13/11/20;Movies;12;100043
798;30/12/20;News;18;100014
799;11/06/20;Sport;40;100044
800;20/10/20;Movies;49;100031
801;03/11/20;Sport;28;100013
802;12/04/20;Sport;13;100033
803;28/07/20;Sport;10;100008
804;21/10/20;Fiction;9;100013
805;25/05/20;Fiction;10;100027
806;19/06/20;Sport;1;100044
807;24/06/20;News;15;100037
808;19/05/20;Sport;34;100030
809;17/12/20;News;9;100034
810;12/01/20;Movies;31;100037
811;30/04/20;News;0;100031
812;05/11/20;News;4;100010
813;11/06/20;News;5;100036
814;28/09/20;News;12;100004
815;23/12/20;Sport;16;100024
816;01/05/20;News;4;100039
817;05/12/20;Fiction;10;100022
818;27/03/20;Fiction;24;100032
819;23/10/20;News;12;100036
820;06/04/20;Movies;4;100037
821;16/07/20;Movies;2;100032
822;17/06/20;Sport;75;100019
823;19/12/20;News;14;100045
824;25/07/20;Sport;6;100007
825;22/12/20;Movies;8;100005
826;02/08/20;Movies;4;100043
827;06/11/20;Sport;40;100023
828;07/02/20;News;0;100025
829;17/08/20;News;5;100044
830;05/07/20;Movies;37;100047
831;13/06/20;Fiction;24;100043
